date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-01,8,Fixed-All Over JH-9,Fixed,1800,1686,AM Hinoo Chowk RNC,589,09:49,360,840,06:00,14:00,558
2026-01-01,8,Fixed-All Over JH-9,Fixed,1800,1686,AM Kusai Colony RNC,607,10:07,360,840,06:00,14:00,1535
2026-01-01,8,Fixed-All Over JH-9,Fixed,1800,1686,AM Upper Hatia Rd Hatia RNC,634,10:34,360,840,06:00,14:00,1686
2026-01-01,9,Fixed-All Over JH-10,Fixed,1800,1743,ASM Adalhatu Morabadi,360,06:00,360,840,06:00,14:00,554
2026-01-01,9,Fixed-All Over JH-10,Fixed,1800,1743,AM Kanke Block RNC,380,06:20,360,840,06:00,14:00,809
2026-01-01,9,Fixed-All Over JH-10,Fixed,1800,1743,AM Babugaoun Chowk New HZB,520,08:40,360,840,06:00,14:00,1336
2026-01-01,9,Fixed-All Over JH-10,Fixed,1800,1743,AM Julu Park HB,538,08:58,360,840,06:00,14:00,1618
2026-01-01,9,Fixed-All Over JH-10,Fixed,1800,1743,AM Zakir Hussain Rd HZB,555,09:15,360,840,06:00,14:00,1743
2026-01-01,10,Fixed-All Over JH-11,Fixed,1800,1790,AM Super Store Harmu RNC,360,06:00,360,840,06:00,14:00,934
2026-01-01,10,Fixed-All Over JH-11,Fixed,1800,1790,AM Pe Pee Compound RNC,378,06:18,360,840,06:00,14:00,1427
2026-01-01,10,Fixed-All Over JH-11,Fixed,1800,1790,AM Old Argora RNC,398,06:38,360,840,06:00,14:00,1790
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM E W Link A Rd Sonari JSR,360,06:00,360,840,06:00,14:00,366
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM Zakirnagar New JSR,382,06:22,360,840,06:00,14:00,744
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM New Rd No 1 Sankosai JSR,401,06:41,360,840,06:00,14:00,905
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM Dimna Paridih Rd Dimna JSR,420,07:00,360,840,06:00,14:00,1199
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM MANGO 15 JSR,436,07:16,360,840,06:00,14:00,1394
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM Chepapul JSR,452,07:32,360,840,06:00,14:00,1602
2026-01-01,11,Fixed-All Over JH-12,Fixed,1800,1677,AM Kendih Main Rd Kapali JSR,469,07:49,360,840,06:00,14:00,1677
2026-01-01,12,Fixed-All Over JH-13,Fixed,1800,1521,AM Kathal More RNC,360,06:00,360,840,06:00,14:00,761
2026-01-01,12,Fixed-All Over JH-13,Fixed,1800,1521,AM Argora KM Road RNC,380,06:20,360,840,06:00,14:00,1521
2026-01-01,13,Fixed-All Over JH-14,Fixed,1800,1692,ASM Tupudana Chowk,360,06:00,360,840,06:00,14:00,630
2026-01-01,13,Fixed-All Over JH-14,Fixed,1800,1692,AM Khunti Road Tupudana Chowk RNC,375,06:15,360,840,06:00,14:00,1037
2026-01-01,13,Fixed-All Over JH-14,Fixed,1800,1692,AM JP Market Dhurwa RNC,401,06:41,360,840,06:00,14:00,1692
2026-01-01,14,Fixed-All Over JH-15,Fixed,1800,1714,AM Pahari RNC,360,06:00,360,840,06:00,14:00,700
